Target Maneuver,Target Quantity,Launch Range,Approach Angle,Ship Maneuver
1,-1,-1,-1,-1
-1,-1,1,-1,1
-1,-1,0,-1,-1
-1,1,1,1,1
-1,1,0,1,1
-1,-1,1,1,1
-1,1,-1,-1,1
1,1,0,1,1
1,1,1,1,1
1,-1,1,1,1
-1,-1,0,-1,1
-1,-1,1,-1,-1
1,1,1,-1,1
1,-1,0,-1,1
1,-1,-1,-1,-1
-1,1,0,-1,-1
-1,1,-1,-1,1
1,-1,1,-1,1
1,1,0,-1,-1
-1,-1,-1,1,1
1,1,-1,1,1
-1,1,1,-1,-1
-1,1,0,1,1
1,-1,1,1,1
1,1,0,-1,1
1,-1,0,1,1
-1,-1,0,1,1
1,1,1,-1,-1
1,-1,-1,-1,-1
