"","Estimate","Std..Error","t.value","p.z"
"(Intercept)",0.0206489363400516,0.803469744758204,0.0256997061491913,0.979496858239634
"design$Target.Maneuver",0.339218675615675,0.203348994033153,1.66816008718672,0.0952839517224773
"design$Target.Quantity",0.565359480774125,0.223259052719134,2.53230260492668,0.0113316151912941
"design$Launch.Range",0.498491200384666,0.291709499772101,1.70886172981721,0.0874765649351823
"design$Approach.Angle",0.495151514690372,0.24990660147162,1.98134627806782,0.0475524539094547
"design$Ship.Maneuver",0.644422949822549,0.313530406880615,2.05537624319778,0.0398426782923251
"design$Target.Maneuver:design$Target.Quantity",0.342497680192079,0.390172825392906,0.877810185389467,0.380046736110609
"design$Target.Maneuver:design$Launch.Range",0.679432613391998,0.584552169036163,1.16231304814467,0.245108328376862
"design$Target.Maneuver:design$Approach.Angle",0.937963232986361,0.44397386926982,2.11265414004878,0.0346303811779343
"design$Target.Quantity:design$Launch.Range",1.32725904087872,0.625512781290143,2.1218735740958,0.0338483561123912
"design$Target.Quantity:design$Ship.Maneuver",0.587220486225509,0.479964055378248,1.22346763188909,0.22115312237665
